consecutive_number,state_name,land_use_name,hour_of_crash,atmospheric_conditions_name,body_type_name,number_of_fatalities
560099,Wyoming,Rural,3,Snow,Standard Pickup,1
160226,Idaho,Rural,16,Blowing Snow,Utility Station Wagon,2
50006,Arkansas,Urban,3,Clear,Standard Pickup,1
482027,Texas,Urban,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
121570,Florida,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40186,Arizona,Rural,19,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
40186,Arizona,Rural,19,Clear,Utility Station Wagon,2
60424,California,Rural,0,Clear,Utility Station Wagon,4
220503,Louisiana,Rural,23,Clear,Standard Pickup,1
280190,Mississippi,Urban,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350035,New Mexico,Urban,6,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
63236,California,Urban,6,Clear,Motorcycle,1
63236,California,Urban,6,Clear,Standard Pickup,1
290496,Missouri,Urban,20,Clear,4-Door Sedan/Hardtop,1
290501,Missouri,Urban,14,Clear,Station Wagon (Excluding Van and Truck-Based),1
400508,Oklahoma,Urban,12,Clear,4-Door Sedan/Hardtop,1
481521,Texas,Urban,10,Clear,Motorcycle,1
60675,California,Urban,13,Clear,4-Door Sedan/Hardtop,2
160088,Idaho,Rural,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350143,New Mexico,Rural,13,Clear,Minivan,1
350143,New Mexico,Rural,13,Clear,Motorcycle,1
400563,Oklahoma,Rural,3,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
470779,Tennessee,Urban,10,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
481784,Texas,Rural,21,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170446,Illinois,Rural,14,Clear,Three-Wheel Motorcycle/Moped- Not All-Terrain Vehicle,1
210156,Kentucky,Rural,4,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
210156,Kentucky,Rural,4,Clear,4-Door Sedan/Hardtop,2
210156,Kentucky,Rural,4,Clear,4-Door Sedan/Hardtop,2
350188,New Mexico,Rural,12,Clear,Other or Unknown Automobile Type,1
121160,Florida,Rural,18,Clear,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown) (Since 2011),1
220634,Louisiana,Rural,8,Clear,Motorcycle,1
50189,Arkansas,Rural,16,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
180698,Indiana,Rural,16,Clear,Utility Station Wagon,1
10131,Alabama,Rural,14,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
10135,Alabama,Rural,13,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
400561,Oklahoma,Rural,21,Clear,Standard Pickup,1
131106,Georgia,Rural,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
200269,Kansas,Rural,1,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
170719,Illinois,Rural,1,Clear,"Convertible (Excludes Sunroof, T-Bar)",2
40476,Arizona,Rural,3,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),3
120105,Florida,Rural,20,Clear,Standard Pickup,1
350164,New Mexico,Rural,22,Clear,4-Door Sedan/Hardtop,1
50170,Arkansas,Rural,20,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
360039,New York,Rural,4,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
450761,South Carolina,Rural,5,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
320236,Nevada,Rural,4,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
320234,Nevada,Rural,23,Clear,4-Door Sedan/Hardtop,1
121386,Florida,Urban,4,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
180192,Indiana,Urban,6,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
61714,California,Urban,1,Clear,4-Door Sedan/Hardtop,1
50417,Arkansas,Urban,1,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61469,California,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
122803,Florida,Urban,9,Clear,Motorcycle,1
122434,Florida,Urban,9,Clear,Large Van – Includes Van-Based Buses,1
122434,Florida,Urban,9,Clear,Large Van – Includes Van-Based Buses,1
270204,Minnesota,Urban,17,Clear,4-Door Sedan/Hardtop,1
270204,Minnesota,Urban,17,Clear,Motorcycle,1
270204,Minnesota,Urban,17,Clear,Station Wagon (Excluding Van and Truck-Based),1
270204,Minnesota,Urban,17,Clear,Standard Pickup,1
270204,Minnesota,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
340155,New Jersey,Urban,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
530112,Washington,Urban,18,Clear,Motorcycle,1
90258,Connecticut,Urban,8,Clear,Standard Pickup,1
481229,Texas,Urban,18,Clear,Motorcycle,1
250083,Massachusetts,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40524,Arizona,Urban,15,Clear,Motorcycle,1
420047,Pennsylvania,Urban,17,Clear,3-Door/2-Door Hatchback,1
481226,Texas,Urban,12,Clear,4-Door Sedan/Hardtop,1
260209,Michigan,Urban,20,Clear,Motorcycle,1
130117,Georgia,Urban,7,Clear,Standard Pickup,1
330063,New Hampshire,Urban,13,Clear,4-Door Sedan/Hardtop,1
220033,Louisiana,Urban,16,Clear,Utility Station Wagon,1
450637,South Carolina,Urban,17,Clear,Motorcycle,1
170827,Illinois,Urban,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
530226,Washington,Urban,0,Clear,Standard Pickup,1
530226,Washington,Urban,0,Clear,Motorcycle,1
480432,Texas,Rural,1,Clear,Standard Pickup,1
280514,Mississippi,Rural,4,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
482966,Texas,Rural,18,Clear,Standard Pickup,1
180042,Indiana,Rural,1,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170710,Illinois,Urban,19,Clear,Motorcycle,1
122733,Florida,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61863,California,Rural,2,Clear,Standard Pickup,2
170824,Illinois,Rural,22,Clear,4-Door Sedan/Hardtop,1
40122,Arizona,Rural,5,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
170828,Illinois,Rural,6,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
350175,New Mexico,Rural,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350175,New Mexico,Rural,13,Clear,Standard Pickup,1
120255,Florida,Rural,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
420568,Pennsylvania,Rural,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
560027,Wyoming,Rural,19,Clear,Large Van – Includes Van-Based Buses,1
60154,California,Rural,0,Clear,4-Door Sedan/Hardtop,1
